question,answer,reference
Mujhe aur kahan madad mil sakti hai?,"Madad ke liye jahan jana hai woh masla aur alamat ke fitrat par munhasir hota hai aur jo aapke liye behtareen manah hota hai. Aksar, behtareen jagah hai kisi aise shakhs se baatcheet karna jise aap bharosa karte hain, jaise ghar walay, dost, mazhabi rehnuma, sehat ke provider, ya dusre professionals. Samaji himayat zeheni bemari se shifa ke liye zaruri hai, aur aap unse un professionals ke hawale ya rehnmai maang sakte hain. Apne ilaqe mein zeheni sehat ke wasail dhoondein. Dusri baat, Nebraska mein log aur jagahen hain jo baat karne, sunne, aur aap ke safar mein madad faraham karte hain. Tisri baat, bohat se log apne peer support ko madadgar samajhte hain jo unki recovery mein madad karta hai. Mukhtalif tanzimaat support groups faraham karti hain jo mazurin, unke ghar walon, aur doston ke liye hoti hain. Kuch support groups peer led hote hain jabke dusre zeheni sehat ke professional ke qabuat mein hote hain.",World Health Organization Mental Health Manual
Alexia kya hai,"Ek haasil shuda neurological disorder hai jo likhi hui matn ko parhnay ki salahiyat kho dene se pehchana jata hai, aksar cerebral vascular stroke ki wajah se hota hai.",Harvard Medical School Mental Health Guide
Neuroleptic Malignant Syndrome kya hai,"Zindagi ke liye khatarnak zehni emergency jo antipsychotic use se hoti hai, jisme shadid muscle ka sakhti, jism ka zyada garam hona, aur badan ke apne nizam ka be intezami hota hai.",Oxford Textbook of Psychiatry
Obsessive-compulsive personality disorder kya hai?,"Personality disorder soch, ehsaas, aur rawaiyat ka aisa nizam hai jo lambi muddat tak rehta hai aur kisi na kisi qisam ka masla ya takleef paida karta hai. Obsessive-compulsive personality disorder ya OCPD control ke baray mein hai. OCPD walay log bohat sakht soch rakhte hain aur har cheez ko munazzam, perfect, aur apni tareeqay se karne ki tawaqqo rakhte hain. Yeh zindagi ki dusri ahm cheezon, jese rishtay, ki qurbani par hota hai. Kaam zindagi ke har hissa par sab se ahem ho sakta hai, aur OCPD walay log bohat dedicated nazar aate hain magar perfectionism ki wajah se kaam mukammal nahi kar pate. Wo dusron ko zimmedari dene mein mushkilat mehsoos karte hain aur dusron ke kaam par bharosa nahi karte. OCPD walay log uncertainty bardasht nahi kar sakte aur duniya ko bohat sakhti se samajhte hainkuch ya to sahi hai ya ghalat. Wo apne liye ya dusron ke liye paise kharch karne mein bhi mushkilat mehsoos karte hain aur hoarding ki shikayat bhi karte hain, yaani apne ghar ki cheezein phenk nahi pate. Neatness ya order ki khwahish aur cheezein na phenk paye ki wajah se anxiety ho sakti hai. Jabke obsessive-compulsive personality disorder aur obsessive-compulsive disorder (OCD) ke naam milte hain, lekin yeh alag alag marz hain. OCD walay log aksar jante hain ke unki obsessions aur compulsions be-maani hain aur bohat pareshaan rehte hain, halaanke wo obsessions ya compulsions rok nahi pate. Compulsions anxiety kum karne ki koshish hote hain, lutf lene ke liye nahi. OCPD walay log apne khayalat ko apni shaksiat ka hissa samajhte hain, apne khayalat ko logical samajhte hain, aur compulsive kaam mukammal kar ke lutf ya faida mehsoos karte hain. Wo control hasil na kar paane ya perfectionism na haasil kar paane par bohat takleef mehsoos karte hain. Obsessive-compulsive personality disorder sab se aam personality disorders mein se ek hai. Ilaaj mein psychotherapy, dawaa, aur self-help strategies shamil ho sakti hain. OCPD ke liye madad lene ke liye apne family doctor se raabta karein ya psychologist dhundhein.",World Health Organization Mental Health Manual
Executive dysfunction kya hai?,"Executive dysfunction aik neurocognitive kharabi hai jo memory, tawajjo, mansuba bandi, aur maqsad par mabni task shuru karne ki salahiyat ko nuqsan pohanchati hai.",Harvard Medical School Mental Health Guide
Psychoeducation kya hai,"Mareezon aur un ke khandan ko tashkhees, prognosis, aur coping tools ke mutaliq mukammal maloomat dene ki munazzam clinical riwayat.",National Alliance on Mental Illness Educational Handbook
Acrophobia kya hai,Ek bohat aam specific anxiety disorder jo unchaiyon ya unchai se neeche dekhne ke shadid aur nuqsan pohnchanay wala khauf se mutaliq hai.,Mayo Clinic Psychiatry Reference Database
Hypnopompic Hallucination kya hai,"Ek ghalat sensory ehsas jo neend se jaagne ke foran waqt hota hai, jo sleep paralysis se gehri taur par juda hai.",Diagnostic and Statistical Manual of Mental Disorders Fifth Edition DSM-5
Major Neurocognitive Disorder kya hai,"Woh haalat jo pehle dementia ke naam se jani jati thi, jisme aik ya zyada zehni salahiyat ke maydanon mein pehle se kafi girawat hoti hai.",Diagnostic and Statistical Manual of Mental Disorders Fifth Edition DSM-5
EMDR therapy kya hai,Eye Movement Desensitization and Reprocessing ek aisi method hai jo bilateral sensory tracking use kar ke dimaagh ko traumatic yaadon ko mehfooz tor par process karne mein madad deti hai.,American Psychological Association Clinical Guidelines
Main apne bachon ko drugs istimaal na karne ke liye kaise manaa sakta hoon?,"Aap nahi kar sakte. Lekin aap un ki is salahiyat ko mutasir kar sakte hain ke wo achi choice karen ek aise duniya mein jaha alcohol aur doosre drugs dastiyab hain. Yeh madad karne ka tareeqa hai ke aap apne bache mein aise skills paida karen jo unhe zindagi ke maqsadon ko hasil karne mein madad dein. Yeh supportive rishta banane ke liye bhi zaroori hai taake wo mushkilaat ya sawaalat ke liye aap ke paas ja sakain. Drugs ke baare mein guftagu shuru karna aapke aur aapke bache ke rishtay ko mazboot bana sakta hai. Bataana aur khula, imaandaar guftagu mumkin banana aapke bache ko yeh yaqeen dilata hai ke jo wo soch rahe hain, mehsoos kar rahe hain aur tajurba kar rahe hain woh aapke liye ahmiyat rakhta hai. Maqsad yeh hai ke aapka bacha baat kare aur apne khayalat aur jazbaat share kare. Jab jawaan logon se sawalat kiye jate hain jo unke khayalat explore karne par majboor karte hain, to yeh unhein apne khayalat aur rawaiyye ke mutaliq dilchaspi deta hai. Yeh self-reflection ka amal hai jo critical sochne ke skills ka hissa hai jo acha faisla karne mein madadgar hai. Critical thinking skills asl mein drugs istemaal se mutaliq khatarat ko kam karne ka zaroori hissa hain. Jab jawaan log koi baat ghour se samajh lete hain, to wo impulse ya influence par amal karne ke bajaye zyada soch samajh kar faisla karte hain. Alcohol ya doosre drugs par baat cheet shuru karne ke liye koi qanoon nahin hai ke kahan se shuru karna chahiye. Chhote bachay bhi jante hain ke drugs humari tehzeeb ka hissa hain. Wo apne gird logon ko sharaab peete dekhte hain aur TV ya advertising mein drugs ke samnay aate hain. Yeh ek aisi mozu hai jo kudrati taur par uthane wale mauqon par mustamal ho sakta hai jaise ke family ke jashan ke liye tayari karte waqt, jab alcohol hota hai, ya agar aap kisi rishtedar ke ghar ja rahe hain jo tobacco istemaal karta ho, ya dinner table ke dauran rozmarra ki kahaniyan share karte waqt. Jawaan log aur naujawaanon se drugs par baat karna jab wo barhapa ki taraf rukh kar rahe hote hain, unhe apne zaati mayar banane, risk kam karne aur mashhoor aqeedon ka tanqeedi taur par jayza lene mein madad deta hai. Yeh khas taur par zaroori ho sakta hai jab wo alcohol ya cannabis ke liye qanuni umar par pohanchte hain aur ghar se alag ho jate hain. Jab ke naujawaan zyada azad aur qanooni huqooq rakhte hain, walidain abhi bhi ek mohim dari board ki tarah unke khayalat aur ideas par tajzia karne ke liye mohemmi kirdar ada kar sakte hain.",World Health Organization Mental Health Manual
Cannabis ki legal umar 19 hai lekin kuch doctor groups kehte hain ke yeh umar 25 tak nuksan deh ho sakti hai. Kya ye har istemal mei nuksan hai ya kisi khaas istemal mein? Asliyat aur afwah mein kya farq hai? Agar main walid hoon toh apne jawan bache ko kya kahun?,"Cannabis ke istemal ke faide aur nuqsanat dono mumkin hain. Jawan log cannabis aur doosre psychoactive drugs istemal karte hain taake acha mehsoos kar saken, behtari mehsoos karen, ya explore karen. Tawajo dein ke curiosity, tajraba karne ya doston ke saath socializing ke dauraan moderate istemal hota hai aur nuqsan kam hota hai. Jab cannabis rozana zindagi ke masail se cope karne, pareshani mehsoos karne, ya social group mein fit hone ke liye istemal hota hai toh nuqsan ke zyada imkaan hain. Yeh is liye ke aise log zaidatar barambar aur bhaari dose lete hain, potential nuqsanat per kam sochte hain aur coping ke alternatives jaise ke kisi adult se baat karna ya physical activity kam karte hain. Research se pata chalta hai ke jitni jawani mein shuru karte hain aur jitna zyada istemal karte hain utna nuksan barhta hai. BC mein cannabis ki kanooni umar 19 saal hai. Lekin dimaag 25 saal tak puri tareh develop nahin hota. Cannabis ko tawajjo ke sath use karna ya use der tak taalna brain ke nuqsanat ko kam kar sakta hai. Kuch log jinhain serious aur mustaqil mental health masail ka khatra ho, unko cannabis se parhez karna chahiye. Yeh chhoti group mein psychosis aur schizophrenia ka risk barha deta hai. Kuch logon ne kaha hai ke cannabis ne unki anxiety ya stress kam karne mein madad ki. Jaise aam surat mein, cannabis ke faide aur nuqsanat ka tawazun young logon ke liye bohat zaruri hai jin mein serious mental health masail hain. Drug mixing, jaise cannabis aur alcohol saath lena nuqsanat barha sakta hai. Is se intoxication zyada aur der tak rehta hai aur jawan iska effect samajh nahi pata. Aksar ham kehte hain, 'Na zyada, na zyada barambar, sirf safe context mein' yeh simple tareeqa hai kisi bhi psychoactive substance ke istemal ke liye. Walid ya caring adult ke roop mein open aur respectful taluq jawan ke saath sab se achi cheez hai aur substance use ke nuqsanat rokne ka behtareen tareeqa. Bachay ko yeh batana ke wo kabhi bhi aap ke paas cannabis, doosre substances, ya kisi aur maslay par baat karne aa sakte hain, yeh batata hai ke wo aap ke liye ahmiyat rakhte hain aur aap unhe sun'ne aur samajhne ko tayar hain.",World Health Organization Mental Health Manual
Gambling Disorder kya hai,"Musalsal aur dhohrate hue problematic gambling ka rawayya jo clinically aham nuqsan ya pareshani ki taraf le jata hai, jisme rok nahi paana khaas pehchan hai.",Diagnostic and Statistical Manual of Mental Disorders Fifth Edition DSM-5
Digital burnout ki alamat kya hain?,"Musalsal ankhon ka thakan, mobile se door rehne par pareshaani mehsoos karna, aur online kaam ya samaji tasks mein puri taur par energy ka na hona.",World Health Organization Mental Health Manual
Circumstantial Speech kya hai,"Aisi guftagu ka andaaz jismey be-had, bore karne wale aur ghair zaroori tafseelat shamil hoti hain jo aakhir kar asal ghaat-e-maktoob tak pohanchti hai.",Diagnostic and Statistical Manual of Mental Disorders Fifth Edition DSM-5
Main apne khud ko bekaar samajhne ke ehsaas se kaise nipattoon?,Apne aap se dosti ka ravayya ikhtiyar karen. Manfi self-talk ko apni purani kamyabiyaan ke haqiqat ke saath challenge karen.,World Health Organization Mental Health Manual
Sleep hygiene kya hai,Sleep hygiene ek aisa framework hai jo saboot par mabni sleep environment aur behavior ke qawaid par mabni hota hai taake gehri raat ki neend ko mazboot banaya ja sake.,Mayo Clinic Psychiatry Reference Database
"Mujhe khudkushi ke khayalat hain, ya kisi apne se koi khudkushi ke baare mein baat kar raha hai. Main kya karun?","Khudkushi ke khayalat hona ya yeh sunna ke koi aapke qarib hai jisme khudkushi ke khayalat hain, darawana ho sakta hai. Khudkushi ke khayalat ka matlab yeh nahin ke koi apni zindagi khatam karega, magar yeh is baat ki nishani hai ke unhe extra madad ya support ki zarurat hai. Agar aapde khud khudkushi ke khayalat hain toh apne doctor ya mental health service provider se zarur baat karen. Agar aap kisi aur ki madad kar rahe hain, toh unhein madad lenay par encourage karen. 'Coping With Suicidal Thoughts' ek acha resource hai jo aapko mushkil feelings ko samajhnay aur handle karne mein madad karta hai.",World Health Organization Mental Health Manual
Agar support madad na kare to mein kya karoon?,"Mushkil ho sakta hai wo cheezen dhundhna jo aap ki madad karengi, kyun ke mukhtalif cheezen mukhtalif logon ke liye madadgar hoti hain. Yeh zaruri hai ke aap mukhtalif approaches ke liye khula dimaag rakhein aur sahi madad dhundhne ke liye pur-azm rahain, aur umeed barqarar rakhein, chahe kuch cheezen kaam na karein.",World Health Organization Mental Health Manual
How can I reframe the situation and find more balanced perspectives?,"How you think about something impacts your feelings and your behaviours. When we feel stressed out, angry, or fearful, its hard to look at the situation realistically and see all of the options we have. Remember we all control our own actions and reactions, no matter whats going on in the world. We can call do something about this pandemic. People often overestimate the negative partstheir own feelings, their own abilities to manage a difficult situation, or the situation itselfand underestimate positive partstheir own abilities to care for themselves and loved ones, their support networks, and opportunities. How does the thought Were never going to make it through this make you feel? It likely doesnt feel goodand it isnt even true. Challenging negative, unhelpful thoughts can improve your mood, validate your ability to get through this, and help you see new options or opportunities to stay well. Stop and notice thoughts that come up. How do they make you feel? Do your thoughts seem realistic if you look at the situation more objectively? How can you reframe the thought to make it more productive or hopeful? Can you find any positive aspects or think of new ways to approach the situation? Here are a few example Im so mad that my event was cancelled This sucks I know this is the safer option for everyone. When its rescheduled, Ill enjoy it more because I wont have to worry about getting sick or spreading the illness. I hate spending so much time at home. This is so boring. Im doing my part to keep my neighbours safe. Its worth it because it keeps people healthy. Im having a hard time getting used to my new schedule. This is so frustrating. Ill get used to this soon, just like I adapted the last time I had to change my schedule. Now that Im home more, Ill have more time to finish the projects I havent touched in months and Im excited to see the end results. Im really scared and I dont know what to do. I feel so overwhelmed right now. It makes sense that I feel scaredpeople are getting sick and we dont know when things will go back to normal. But there are a lot of things I can do to keep healthy, and Im going to do some research so I can do my best. When I focus on the things I can do, everything feels more manageable. Were going to be stuck inside forever. Im already sick of this. I understand that it will take some time to manage COVID-19, and I trust that health care professionals and scientists are working as fast as they can. I know this will end eventually and life will go back to normal. The goal is not to ignore the bad or uncomfortable parts of the situation or deny that theres a problem. Instead, this exercise can help you understand the situation more realistically and see the parts that you can control right now.",World Health Organization Mental Health Manual
Agar mujhe lage ke main har cheez mein nakaam ho raha hoon toh mujhe kya karna chahiye?,"Aaj ki kisi ek chiz ko pehchano jo tumne achi tarah ki, chahe woh chhoti hi kyu na ho. Kamyabi ko perfection achieve karne ki bajaye sirf maujood rehne ke taur par dekho.",World Health Organization Mental Health Manual
PTSD walay partner ki madad main kaise karoon?,"Un ke triggers ke baray mein taleem hasil karen, waqton mein sabr se kaam len aur unko unke therapy plan par amal karne ke liye hosla den.",World Health Organization Mental Health Manual
Main jawan hoon aur mere walidain mein se ek ko zehni bemari hai. Main kya kar sakta hoon?,"Kisi aur ki illness aapki galti nahin hai. Aap yeh bhi control nahin kar sakte ke wo shakhs kaise mehsoos karta hai, unki illness ya unka amal. Aap apna khayal rakh sakte hain. Apne parents ki illness ke bare mein zyada janna madadgar ho sakta hai taake aap samajh sakein ke wo kya guzarte hain. Is website par aap mental illnesses par asaani se padhne wale booklets aur lambi info sheets paa sakte hain. Apna khayal rakhna bhi bohat zaruri hai. Bohat se log jab koi walid behaal ho to mix jazbat mehsoos karte hain, jaise gussa, sharm, darr ya aur bohat kuch. Yeh jazbat aapke apne aap aur dusron ke baray mein sochnay ka tareeqa badal sakti hain. Jab aap hawai jahaaz mein ho aur flight attendants safety demonstration karain, toh wo kehte hain ke pehle apna oxygen mask lagao, phir dusron ki madad karo. Yeh is liye ke aap jo khud theek nahin hon unki madad nahi kar sakte. Yahan kuch programs hain jo sirf jawan logon ke liye hain: BC Schizophrenia Society ka Kids in Control Support Group Program jo 8-18 saal ke bachon aur jawano ko mental illnesses samajhne, challenges se cope karne aur apni sehat ka khayal rakhne mein madad karta hai.",World Health Organization Mental Health Manual
Illusion kya hai,"Ek hoshyaar dosh ya ghalat tafseer hai jo asal mein mojood kisi haqeeqi physical stimulus ka hota hai, jese ke coat ko insan samajhna.",Oxford Textbook of Psychiatry
Cognitive Behavioral Therapy kya hai,Cognitive Behavioral Therapy ek makhsoos rawaiyaati ilaj hai jo mareezon ko unke zehni ghalat fehmiyon ki pehchan karne aur door karne mein madad deti hai.,American Psychological Association Clinical Guidelines
Zeheniat ki sehat ke liye volunteering karne ke kya faiday hain?,"Ye maqsad ka ehsaas deta hai, samaji talluq barhata hai, aur fardi fikr se tawajju dosron ki madad par shift karta hai.",World Health Organization Mental Health Manual
Aap kya kar rahe hain?,Main data inputs process kar raha hoon taake psychology aur diagnosis ke meyar ke mutaliq maloomat faraham kar sakoon.,OpenAI Clinical System Framework
Brocas Aphasia kya hai,Ek non-fluent zabaan ka nikalna jo nuqsan hai jahan samajh bach jati hai magar zabani izhar sakht aur mehnat talab hota hai.,Harvard Medical School Mental Health Guide
Prodrome kya hai?,"Prodrome ek tibbi istilah hai jo kisi bimaari ya health maslay ke aaghazi nishaniyon ya alamaat ke liye istemal hoti hai jo bari nishaniyon ya symptoms se pehle zahir hoti hain. Psychosis, jo schizophrenia jaisi bemariyon mein paya jata hai, ek aisi bemari hai jiska apna khaas prodrome hota hai. Psychosis ke prodrome mein nishaniyan poori hallucinations aur delusions shuru hone se pehle zahir hoti hain. Prodrome mein aam symptoms shamil hain. Yeh symptoms bohat si dusri zehni bemariyon mein bhi milte hain, is liye aksar samajhna mushkil hota hai ke yeh psychosis ya schizophrenia ka prodrome hai ya kuch aur. Yeh behtareen hota hai ke jab bhi aap apni ya apne kareebi fard ki zehni sehat ko le kar pareshan hon to madad talaash karain. Psychosis aur schizophrenia ko jaldi diagnosis aur ilaaj karna asaan hota hai.",World Health Organization Mental Health Manual
Jamais Vu kya hai,"Wo zehni haal jahan ek bohat mamool surat-e-haal, lafz, ya jagah achanak bilkul ajeeb ya naye tareeqay se mehsoos hoti hai.",Oxford Textbook of Psychiatry
Obsessive-Compulsive Disorder ke clinical markers kya hain,"Markers mein persistent, intrusive khayalat shamil hain jo ke sakht behavior loops ke sath hote hain jo temporary distress ko kam karte hain.",Diagnostic and Statistical Manual of Mental Disorders Fifth Edition DSM-5
Flight of Ideas kya hai,Aisi tez aur musalsal zubaani guftagu jismey khayalat ek mauzoo se doosray mauzoo par foran chalang lagate hain jo aam tor par be-tarteeb talluqaat ya lafzi mazaaq par mabni hote hain.,Diagnostic and Statistical Manual of Mental Disorders Fifth Edition DSM-5
Oppositional Defiant Disorder kya hai,"Ek bachpan ka disorder jo gusse ya chidhchidhapan ke mood, behas ya nafarmani wale ravayya, ya badla lene ki soch ka kam az kam chay mahine tak mustaqil pattern hota hai.",Diagnostic and Statistical Manual of Mental Disorders Fifth Edition DSM-5
Mutism kya hai,Aise fard mein zabani guftagu ki poori ya qareeban poori kami jo ke alfaaz ke dhawani samat bananay ki sehatmand sakhtiyati salahiyat rakhta ho.,Diagnostic and Statistical Manual of Mental Disorders Fifth Edition DSM-5
Identification with the Aggressor kya hai,Aik la-shooree difa'i mekhani jis mein maqtul apne dzalaal ke traits ya zehni rawaiye apnata hai taake trauma se bacha rahe.,Oxford Textbook of Psychiatry
Transference kya hai,"Unconscious feelings, expectations aur interpersonal attitudes jo bachpan ke logon ke liye mehsoos kiye jate thay, unko aaj ke therapist ki taraf shift kar dena.",Oxford Textbook of Psychiatry
Social Anxiety Disorder kya hai,"Yeh dosron ke samne negative evaluation, sharmindagi ya lookhne ke sath performance ya aaraam da social mulaqaton ke doran intehai dar hai.",National Institute of Mental Health Clinical Guide
Aphasia kya hai,"Zabaan ke processing mein haasil shuda nuqsan jo dimag ke makhsoos hissa ke nuqsaan ki wajah se hota hai, jisme samajhna, bolna ya tafra karna mushkil ho jata hai.",Harvard Medical School Mental Health Guide
Main apne bachay ki jazbati samajh kaise barha sakta hoon?,"Unke jazbaat unke liye naam dein, jaise ke, Aap frustrated lag rahe hain, aur unhe sehatmand tareeqe sikhayen apne jazbaat izhar karne ke.",World Health Organization Mental Health Manual
How can I challenge thinking traps?,"What you tell yourself about a situation affects how you feel and what you do. Sometimes your interpretation of a situation can get distorted and you only focus on the negative aspectsthis is normal and expected. However, when you interpret situations too negatively, you might feel worse. Youre also more likely to respond to the situation in ways that are unhelpful in the long term. These automatic thoughts and assumptions are sometimes called thinking traps. Everyone falls into unbalanced thinking traps from time to time. Youre most likely to distort your interpretation of things when you already feel sad, angry, anxious, depressed or stressed. Youre also more vulnerable to thinking traps when youre not taking good care of yourself, like when youre not eating or sleeping well. Here are some common thinking traps Thinking that a negative situation is part of a constant cycle of bad things that happen. People who overgeneralize often use words like always or never. I was really looking forward to that concert, and now its cancelled. This always happens to me I never get to do fun things Seeing things as only right or wrong, good or bad, perfect or terrible. People who think in black and white terms see a small mistake as a total failure. I wanted to eat healthier, but I ate too many snacks today. This plan is a total failure Saying only negative things about yourself or other people. I made a mistake. Im stupid My boss told me that I made a mistake. My boss is a total jerk Predicting that something bad will happen without any evidence. Ive been doing what I can to stay home and reduce the risks, but I just know that Im going to get sick. Focusing only on the negative parts of a situation and ignoring anything good or positive. I know theres a lot I can do at home, but Im just so sick of this. Everything is terrible. Believing that bad feelings or emotions reflect the situation. I feel scared and overwhelmed right now, so that must mean everything is very bad and will never get better. Telling yourself how you should or must act. I should be able to handle this without getting upset and crying Here are helpful strategies to challenge common thinking traps. Many people find their mood and confidence improve after working through these skills. You can also find worksheets to help you go through each step at www.heretohelp.bc.ca. Dont try to get out of a thinking trap by just telling yourself to stop thinking that way. This doesnt let you look at the evidence and challenge the thinking trap. When you try and push upsetting thoughts away, they are more likely to keep popping back into your mind. Ask yourself the following questions when something upsetting happens What is the situation? What actually happened? Only include facts that everyone would agree on. What are your thoughts? What are you telling yourself? What are your emotions? How do you feel? What are your behaviours? How are you reacting? What are you doing to cope? Take a look at the thoughts youve listed. Are you using any of the thinking traps and falling into distorted thinking patterns? Its common to fall into more than one thinking trap. Go back to the thinking trap list and identify which ones apply to you and your current situation. The best way to break a thinking trap is to look at your thoughts like a scientist and consider the hard facts. Use the evidence youve collected to challenge your thinking traps. Here are some ways to do that Try to find evidence against the thought. If you make a mistake at work, you might automatically think, I cant do anything right I must be a terrible employee When this thought comes up, you might challenge it by asking, Is there any evidence to support this thought? Is there any evidence to disprove this thought? You might quickly realize that your boss has complimented your work recently, which doesnt support the idea that youre a bad employee. Ask yourself, Would I judge other people if they did the same thing? Am I being harder on myself than I am on other people? This is a great method for challenging thinking traps that involve harsh self-criticism. Find out whether other people you trust agree with your thoughts. For example, you might have trouble with one of your kids and think, Good parents wouldnt have this kind of problem. To challenge this thought, you can ask other parents if theyve ever had any problems with their kids. Test your beliefs in person. For example, if you think that your friends dont care about you, call a few friends and make plans to start a regular video call. If you assumed that they will all say no, you may be pleasantly surprised to hear that they do want to see you. Once you have worked through some challenges, try to think of a more balanced thought to replace the old thinking traps. Lets use the following example I feel sad and overwhelmed. Im having a hard time figuring out what to do. Im the worst I should be able to handle this Labeling Should statements Examine the evidence I have a lot of challenges right now. Im worried about my family and everything seems to change so quickly. Ive successfully handled complicated situations in the past, so I know I can do this. Its okay to feel upset right nowtheres a lot going on. Im going to think about how I got through past situations and see what worked for me. Im trying to do a lot on my own, so Im going to talk to my family so we can make a plan and work together. Try the Healthy Thinking Worksheet at www.heretohelp.bc.ca Check out Anxiety Canadas articles Helpful Thinking and Thinking Traps This page is adapted from Wellness Module 8 Healthy Thinking at www.heretohelp.bc.cawellness-modulewellness-module-8-healthy-thinking.",World Health Organization Mental Health Manual
Anhedonia kya hai,Woh gehri clinical na-tawanai jis mein kisi shakhs ko un funoon ya ehsaasat mein lutf hasil karne ki salahiyat mahsoos nahi hoti jo pehle buhat dilchaspi aur tasalli ka bais thay.,Diagnostic and Statistical Manual of Mental Disorders Fifth Edition DSM-5
Idea of Reference kya hai,"Aisi ghalat tafseer ke mamooli baahir ke waaqiat, mamooli guftagu, ya media ki broadcasts ka bohat zaati aur seedha matlab hai.",Diagnostic and Statistical Manual of Mental Disorders Fifth Edition DSM-5
Baloogh shuda ADHD ke nishan kya hain?,"Nishaniyon mein shadeed chronic be tawajjo, be intizami, working memory mein kami, bechaini, aur jazbati bezabtgi shamil hain.",National Institute of Mental Health Clinical Guide
Main maali dabao ko kaise samhaal sakta hoon?,"Saaf budget banayen, us par tawajjoh dein jo aapke ikhtiyar mein ho, aur maali mashwaray ke liye counselor se rujoo karein taake hasas chaos ko kam kiya ja sake.",World Health Organization Mental Health Manual
Labile Affect kya hai,"Ek ghair mamooli jazbati izhar jo tez, achanak, aur be waqat tabdeelion se bharpoor hota hai jo bahari asar se azad hota hai.",Diagnostic and Statistical Manual of Mental Disorders Fifth Edition DSM-5
Auditory Hallucination kya hai,"Jab koi kharji awaaz ya awaazon ka sunna mehsoos hota hai jab koi asal acoustic source muhafiz nahi hota, jo schizophrenia ke liye khasa pehchan hai.",Diagnostic and Statistical Manual of Mental Disorders Fifth Edition DSM-5
Jab main mushkilat mein hota hoon to madad mangna itna mushkil kyun hota hai?,Badnami aur dosh bane ka khauf aksar raah mein aata hai. Yaad rakhein ke madad mangna kamzori nahi balke taqat ki nishani hai.,World Health Organization Mental Health Manual
Regression kya hai,Shadeed zehni dabao ke tehat pehle ke zyada mehfooz taraqqiati marhalay ke rawaiti rawaiye ki janib wapsi.,Oxford Textbook of Psychiatry
Overgeneralization kya hai,Zeheni ghalati jahan aik akela nakaam ya rad kiye jane wala waqia ki bunyaad par aam tor par manfi natija nikala jata hai.,Beck Institute for CBT
Defense Mechanism kya hai,Ek ghair shauri zehni hikmat-e-amli jo ego ke zariye anjaam di jati hai taake bechaini paida karne wale na qabool shuda zaati ikhtilafat se shafta maloomat ko mehfooz rakha ja sake.,Oxford Textbook of Psychiatry
Suppression kya hai,"Shauri aur irade se ki gayi chunaav hai jismein takleef deh khayalat, khwahishat, ya foran jazbat ko maujooda tawajjo se door rakha jata hai takay baad mein unka samna ho sake.",American Psychological Association Clinical Guidelines
Borderline Personality Disorder ki tashreeh kya hai,"Yeh ek mustaqil pattern hai jis mein shadeed interpersonal conflict, unstable self-image, badalta hua mood, aur khud tabah karne wali impulsivity shamil hai.",Diagnostic and Statistical Manual of Mental Disorders Fifth Edition DSM-5
Excoriation Disorder kya hai,"Skin chhantnay ki beemari jo apni skin ko bar bar chhantnay ki wajah se hoti hai, jis se skin ke zakham aur shadid zaati takleef paida hoti hai.",Diagnostic and Statistical Manual of Mental Disorders Fifth Edition DSM-5
Apraxia kya hai,Aik neurological masla jisme aksar insan apni mansuba bandi ya sikhayi hui harkatain karne mein nakam rehta hai jabke uske muscles ki taqat aur raabta saheh hota hai.,Harvard Medical School Mental Health Guide
What is your name,Mera naam MINDWELL hai aur main aap ka automated mental health maloomati database assistant hoon.,OpenAI Clinical System Framework
Huntingtons Disease kya hai,"Ek taraqqi-pazeer, warisati neurodegenerative disorder hai jo motor chorea, zehni girawat, aur barjasta zehni bemari ke alamat ke saath pehchana jata hai.",Oxford Textbook of Psychiatry
Kya zeheni bemari shuda afrad sahi ho sakte hain?,"Zeheni bemari se shifa yab hone ke liye jaldi shanasai aur ilaaj bohat zaruri hota hai. Bemari ke fitrat ke mutabiq, mukhtalif moasar ilaj dastiyab hain. Kisi bhi qisam ke ilaj ke liye, zaruri hai ke mutaasir shaks apne recovery process mein full tor par hamil ho aur purjosh rahe. Bohat se zeheni bemari walay afrad jo tashkhis aur ilaaj karwate hain achi response dete hain, halankah kuch log apne alamat wapas aate hue mehsoos karte hain. Aisa hone par bhi, masulah talim aur behtareen intizam ke sath bemari ko qabu karte huway waqi lifetful aur masroof zindagi guzarna mumkin hai.",World Health Organization Mental Health Manual
Zehni sehat mein dhoop ka kya kirdar hai?,"Dhoop Vitamin D aur serotonin ko barhata hai, jo mizaj ki behtari aur sehatmand neend-ke-hosh ke silsile ke liye zaroori hain.",World Health Organization Mental Health Manual
Panic attack kya hai,Panic attack ek achanak tez khauf ya barhawa discomfort ka daur hai jo chand minute mein apni inteha tak pohanchta hai aur jis se jismani seene mein dard hota hai.,Diagnostic and Statistical Manual of Mental Disorders Fifth Edition DSM-5
HIV Infection ki wajah se Neurocognitive Disorder kya hai,Ek musannad zehni nuqsan jo seedha insan ke immune deficiency virus ke central nervous system mein takraar ke neurobiological asraat ki wajah se hota hai.,Johns Hopkins Psychiatry Patient Guide
Sunday Scaries ya kaam ki fikr se main kaise nibat sakta hoon?,Friday dupahar ko Monday ke liye tayyari karen aur apna Sunday aaram aur aisi mashghalon ke liye mukhasis karen jo kaam se mutalliq na hon.,National Institute of Mental Health Clinical Guide
