question,answer,reference
ما هو اضطراب القمار,سلوك قمار مستمر ومتكرر يسبب خللاً أو ضيقًا سريريًا ملحوظًا، ويتميز بعدم القدرة على التوقف.,الدليل التشخيصي والإحصائي للاضطرابات العقلية الطبعة الخامسة DSM-5
ما هي أعراض الإرهاق الرقمي؟,إجهاد العين المستمر، الشعور بالقلق عند الابتعاد عن هاتفك، وفقدان كامل للطاقة للمشاركة في العمل أو المهام الاجتماعية عبر الإنترنت.,دليل الصحة النفسية لمنظمة الصحة العالمية
ما هو الكلام الظرفي,نمط الكلام الذي يتضمن تفاصيل مفرطة، مملة، وغير ضرورية قبل أن يصل في النهاية إلى الهدف التواصلي الفعلي.,الدليل التشخيصي والإحصائي للاضطرابات النفسية الطبعة الخامسة DSM-5
كيف يمكنني التعامل مع مشاعر انعدام القيمة؟,مارس الرأفة الذاتية بمعاملة نفسك كصديق. تحدّث مع نفسك سلبياً بحقائق عن إنجازاتك السابقة.,دليل الصحة النفسية لمنظمة الصحة العالمية
ما هي نظافة النوم,نظافة النوم هي إطار من قواعد بيئية وسلوكية مبنية على الأدلة مصممة لتعزيز الراحة الليلية العميقة.,قاعدة بيانات الإحالة في الطب النفسي لعيادة مايو
لدي أفكار انتحارية، أو شخص يهتم به يتحدث عن الانتحار. ماذا يجب أن أفعل؟,"من المخيف أن تكون لديك أفكار انتحارية أو أن تسمع أن شخصًا تهتم به لديه أفكار انتحارية. الأفكار الانتحارية لا تعني أن الشخص سينهي حياته، لكنها علامة على أنه بحاجة إلى مساعدة أو دعم إضافي. إذا كانت لديك أفكار انتحارية، من المهم التحدث مع طبيبك أو مقدم خدمات الصحة النفسية. إذا كنت تدعم شخصًا آخر، شجعه على طلب المساعدة. مورد ""التعامل مع الأفكار الانتحارية"" هو مصدر جيد لمساعدتك على فهم وإدارة المشاعر الصعبة.",دليل الصحة النفسية لمنظمة الصحة العالمية
ماذا أفعل إذا لم يساعد الدعم؟,قد يكون من الصعب إيجاد الأشياء التي ستساعدك، حيث تساعد أشياء مختلفة أشخاصاً مختلفين. من المهم أن تكون منفتحاً على مجموعة من النهج وأن تلتزم بإيجاد المساعدة المناسبة وأن تستمر في الأمل، حتى عندما لا تنجح بعض الأمور.,دليل منظمة الصحة العالمية للصحة النفسية
كيف يمكنني إعادة صياغة الموقف والعثور على وجهات نظر أكثر توازنًا؟,"الطريقة التي تفكر بها حول شيء ما تؤثر على مشاعرك وسلوكياتك. عندما نشعر بالتوتر، الغضب، أو الخوف، يكون من الصعب النظر إلى الموقف بواقعية ورؤية كل الخيارات المتاحة لدينا. تذكر أننا جميعًا نتحكم في أفعالنا وردود أفعالنا، بغض النظر عما يحدث في العالم. يمكننا فعل شيء حيال هذه الجائحة. غالبًا ما يبالغ الناس في تقدير الأجزاء السلبية - مشاعرهم الخاصة، قدراتهم الخاصة على إدارة موقف صعب، أو الموقف نفسه - ويقللون من تقدير الجوانب الإيجابية - قدراتهم الخاصة على الاعتناء بأنفسهم وأحبائهم، شبكات الدعم الخاصة بهم، والفرص المتاحة. كيف يجعلك التفكير ""لن نتمكن أبدًا من تجاوز هذا"" تشعر؟ على الأرجح لا تشعر بشيء جيد - وهذا ليس حتى صحيحًا. تحدي الأفكار السلبية وغير المفيدة يمكن أن يحسن مزاجك، ويؤكد قدرتك على التغلب على هذا، ويساعدك على رؤية خيارات جديدة أو فرص للبقاء بحالة جيدة. توقف ولاحظ الأفكار التي تطرأ. كيف تجعلك تشعر؟ هل تبدو أفكارك واقعية إذا نظرت إلى الموقف بمزيد من الموضوعية؟ كيف يمكنك إعادة صياغة الفكرة لجعلها أكثر إنتاجية أو أملية؟ هل يمكنك إيجاد أي جوانب إيجابية أو التفكير في طرق جديدة لمقاربة الموقف؟ فيما يلي بعض الأمثلة: أنا غاضب جدًا لأن فعاليتي ألغيت هذا سيئ أنا أعلم أن هذا الخيار أكثر أمانًا للجميع. عندما يتم إعادة جدولته، سأستمتع به أكثر لأنني لن أضطر للقلق بشأن الإصابة أو نشر المرض. أكره قضاء الكثير من الوقت في المنزل. هذا ممل جدًا. أنا أقوم بدوري في الحفاظ على أمان جيراني. الأمر يستحق لأنه يحافظ على صحة الناس. أجد صعوبة في التعود على جدولي الجديد. هذا محبط جدًا. سأتعود على هذا قريبًا، تمامًا كما تأقلمت آخر مرة اضطررت إلى تغيير جدولي. الآن بعد أن أصبحت في المنزل أكثر، سيكون لدي وقت أكثر لإنهاء المشاريع التي لم ألمسها منذ شهور وأنا متحمس لرؤية النتائج النهائية. أنا خائف جدًا ولا أعرف ماذا أفعل. أشعر بالإرهاق الآن. من المنطقي أن أشعر بالخوف - الناس يمرضون ولا نعرف متى ستعود الأمور إلى الوضع الطبيعي. لكن هناك الكثير مما يمكنني فعله للحفاظ على صحتي، وسأقوم ببعض البحث حتى أتمكن من بذل قصارى جهدي. عندما أركز على الأشياء التي يمكنني القيام بها، يصبح كل شيء أكثر قابلية للإدارة. سنظل محاصرين في الداخل إلى الأبد. لقد سئمت من هذا بالفعل. أنا أفهم أن إدارة كوفيد-19 ستستغرق بعض الوقت، وأثق أن المهنيين الصحيين والعلماء يعملون بأسرع ما يمكن. أعلم أن هذا سينتهي في النهاية وستعود الحياة إلى طبيعتها. الهدف ليس تجاهل الأجزاء السيئة أو المزعجة من الموقف أو إنكار وجود مشكلة. بدلاً من ذلك، يمكن أن تساعدك هذه التمرين على فهم الموقف بشكل أكثر واقعية ورؤية الأجزاء التي يمكنك التحكم بها الآن.",دليل منظمة الصحة العالمية للصحة النفسية
ماذا يجب أن أفعل إذا شعرت أنني أفشل في كل شيء؟,حدد شيئًا واحدًا فعلته جيدًا اليوم، مهما كان صغيرًا. أعد تعريف النجاح على أنه الحضور بدلاً من تحقيق الكمال.,دليل الصحة النفسية لمنظمة الصحة العالمية
كيف أدعم شريكًا يعاني من اضطراب ما بعد الصدمة؟,تعلم عن محفزاته، كن صبورًا أثناء حدوث النوبات، وشجعه على متابعة خطة العلاج الخاصة به.,دليل الصحة النفسية لمنظمة الصحة العالمية
أنا شخص شاب وأحد والديّ يعاني من مرض نفسي. ماذا يمكنني أن أفعل؟,مرض شخص آخر ليس خطأك. أنت أيضًا لا تستطيع التحكم في شعور شخص آخر، مرضه، أو ما يفعلونه أو يقولونه. ما يمكنك فعله هو الاعتناء بنفسك. إن التعرف أكثر على مرض والديك يمكن أن يجعل فهم ما يمرون به أسهل قليلاً. في هذا الموقع، يمكنك العثور على كتيبات سهلة القراءة عن الأمراض النفسية بالإضافة إلى نشرات معلومات أطول عن العديد من الأمراض النفسية المختلفة. من المهم أيضًا العناية بنفسك. كثير من الناس لديهم مزيج كبير من المشاعر عندما لا يكون أحد الوالدين بخير. قد تشعر بالغضب، الإحراج، الخوف، أو الكثير من الأمور الأخرى. هذه المشاعر والتجارب يمكن أن تؤثر كثيرًا على الطريقة التي تفكر بها عن نفسك والآخرين. عندما تكون على متن طائرة ويركز مشرفو الطيران على شرح إجراءات السلامة، يخبرونك بوضع قناع الأكسجين الخاص بك أولاً قبل مساعدة الآخرين. ذلك لأن من الصعب مساعدة شخص آخر إذا لم تكن بخير أنت نفسك. إليك بعض البرامج المخصصة للشباب: برنامج مجموعة دعم الأطفال في السيطرة من جمعية الشيزوفرينيا البريطانية يساعد الأطفال والشباب من 8 إلى 18 سنة على فهم الأمراض النفسية، التكيف مع التحديات، والاعتناء بصحتهم ورفاهيتهم.,دليل الصحة النفسية لمنظمة الصحة العالمية
ما هو الوهم,إدراك حسي خاطئ أو تفسير خاطئ لمحفز خارجي مادي حقيقي، مثل رؤية معطف معلق كشخص.,كتاب أوكسفورد للطب النفسي
ما هو العلاج السلوكي المعرفي؟,العلاج السلوكي المعرفي هو علاج سلوكي مستهدف يساعد المرضى على التعرف على التشوهات المعرفية وتفكيكها.,إرشادات الجمعية الأمريكية لعلم النفس السريرية
ما هي فوائد التطوع للصحة النفسية؟,يوفر شعورًا بالهدف، ويزيد من الاتصال الاجتماعي، ويحيد الانتباه عن الهموم الشخصية لمساعدة الآخرين.,دليل الصحة النفسية لمنظمة الصحة العالمية
ماذا تفعل,أنا أقوم بمعالجة مدخلات البيانات لتقديم معلومات حول علم النفس ومعايير التشخيص.,إطار نظام OpenAI الإكلينيكي
ما هي أفازيا بروكا,اضطراب في إنتاج اللغة غير الطلق حيث يبقى الفهم سليمًا نسبيًا ولكن التعبير اللفظي محدود جدًا ويتطلب جهدًا كبيرًا.,دليل الصحة النفسية لكلية الطب جامعة هارفارد
ما هو المقدمة (prodrome)؟,المقدمة هي مصطلح طبي للعلامات أو الأعراض المبكرة لمرض أو مشكلة صحية تظهر قبل بداية العلامات أو الأعراض الرئيسية. الهذيان، وهي مجموعة من الأعراض الموجودة في اضطرابات مثل الفصام، هو واحد من الأمراض التي لديها مقدمة محددة. مع الهذيان، تبدأ علامات وأعراض المقدمة قبل ظهور الأعراض الكاملة مثل الهلوسات والأوهام. تشمل الأعراض الشائعة في مقدمة الهذيان – هذه الأعراض موجودة في العديد من الأمراض العقلية الأخرى، لذا قد لا يكون واضحًا دائمًا في الوقت الحالي ما إذا كانت مقدمة لهذيان أو فصام أو شيء آخر. من الأفضل طلب المساعدة متى ما كنت قلقًا بشأن صحتك النفسية أو صحة أحد أحبائك النفسية. يكون الهذيان والفصام أسهل في الإدارة والعلاج عندما يبدأ العلاج مبكرًا.,دليل منظمة الصحة العالمية للصحة النفسية
ما هو جاميه فو,الظاهرة النفسية حيث تُختبر حالة أو كلمة أو مكان مألوف جدًا فجأة كغريب تمامًا أو جديد.,كتاب أكسفورد للطب النفسي
ما هي العلامات السريرية لاضطراب الوسواس القهري,تشمل العلامات أفكارًا متكررة ومزعجة مقترنة بحلقات سلوكية صارمة يتم تنفيذها لتخفيف الضيق مؤقتًا.,الدليل التشخيصي والإحصائي للاضطرابات العقلية الطبعة الخامسة DSM-5
ما هو هروب الأفكار,تتابع سريع ومستمر للكلام اللفظي حيث تتنقل الأفكار بسرعة من موضوع إلى آخر بناءً على ارتباطات عارضة أو كلمات مزدوجة المعنى.,الدليل التشخيصي والإحصائي للاضطرابات النفسية الطبعة الخامسة DSM-5
ما هو اضطراب التحدي المعارض,اضطراب في مرحلة الطفولة يتضمن نمطًا من المزاج الغاضب أو المتهيّج، والسلوك الجدلي أو المتمرد، أو الانتقامية التي تستمر لمدة لا تقل عن ستة أشهر.,الدليل التشخيصي والإحصائي للاضطرابات النفسية الإصدار الخامس DSM-5
ما هو فقدان الكلام؟,غياب تام أو شبه تام للإخراج الكلامي اللفظي لدى فرد يحتفظ بالقدرة الفسيولوجية التركيبية على نطق الكلمات.,الدليل التشخيصي والإحصائي للاضطرابات النفسية الإصدار الخامس DSM-5
ما هو التماهي مع المعتدي,آلية دفاعية لاواعية يتبنى فيها الضحية صفات أو سلوكيات نفسية مسيئة من خاطفهم للبقاء على قيد الحياة من الصدمة.,Oxford Textbook of Psychiatry
ما هو النقل النفسي,تحويل لاواعي للمشاعر والتوقعات والمواقف الشخصية التي كانت موجهة في الأصل نحو شخصيات من الطفولة إلى المعالج الحديث.,Oxford Textbook of Psychiatry
ما هو اضطراب القلق الاجتماعي,هو خوف شديد من التقييم السلبي أو الإذلال أو التدقيق من قبل الآخرين أثناء الأداء أو اللقاءات الاجتماعية العادية.,الدليل الإكلينيكي للمعهد الوطني للصحة النفسية
ما هي الأفازيا,اضطراب مكتسب في معالجة اللغة ناتج عن تلف موضعي في الدماغ، يؤثر على الفهم أو الإنتاج أو التكرار للكلام اللفظي.,دليل الصحة النفسية لكلية الطب جامعة هارفارد
كيف يمكنني مساعدة طفلي على بناء الذكاء العاطفي؟,صِف مشاعرهم لهم مثلًا: تبدو محبطًا، وعلّمهم طرقًا صحية للتعبير عن تلك المشاعر.,دليل منظمة الصحة العالمية للصحة النفسية
كيف يمكنني تحدي أفخاخ التفكير؟,"ما تقوله لنفسك عن موقف ما يؤثر على شعورك وما تفعله. أحيانًا يمكن أن يكون تفسيرك للموقف مشوهًا وتركز فقط على الجوانب السلبية - هذا أمر طبيعي ومتوقع. ومع ذلك، عندما تفسر المواقف بشكل سلبي للغاية، قد تشعر بأسوأ. كما أنك أكثر عرضة للرد على الموقف بطرق غير مفيدة على المدى الطويل. تسمى هذه الأفكار والافتراضات التلقائية أحيانًا بأفخاخ التفكير. يقع الجميع في أفخاخ التفكير غير المتوازنة من وقت لآخر. أنت على الأرجح تشوه تفسيرك للأمور عندما تشعر بالحزن أو الغضب أو القلق أو الاكتئاب أو التوتر. أنت أيضًا أكثر عرضة لأفخاخ التفكير عندما لا تعتني بنفسك جيدًا، مثل عندما لا تأكل أو تنام جيدًا. فيما يلي بعض أفخاخ التفكير الشائعة: التفكير بأن موقفًا سلبيًا جزء من دورة مستمرة من الأشياء السيئة التي تحدث. يستخدم الأشخاص الذين يبالغون في التعميم كلمات مثل دائمًا أو أبدًا. كنت أتطلع كثيرًا إلى تلك الحفلة، والآن أُلغيت. يحدث هذا لي دائمًا. لا أحصل أبدًا على فرص ممتعة. رؤية الأمور فقط إما صحيحة أو خاطئة، جيدة أو سيئة، مثالية أو رهيبة. يرى الأشخاص الذين يفكرون بالأبيض والأسود خطأ صغيرًا كفشل كامل. أردت أن أتناول طعامًا صحيًا، لكنني أكلت الكثير من الوجبات الخفيفة اليوم. هذه الخطة فشل كامل. قول أشياء سلبية فقط عن نفسك أو الآخرين. ارتكبت خطأ. أنا غبي. قال لي رئيسي إنني ارتكبت خطأ. رئيسي شخص وقح جدًا. التنبؤ بأن شيئًا سيئًا سيحدث دون أي دليل. لقد كنت أفعل ما أستطيع للبقاء في المنزل وتقليل المخاطر، لكني أعرف ببساطة أنني سأمرض. التركيز فقط على الجوانب السلبية لموقف ما وتجاهل أي شيء جيد أو إيجابي. أعلم أن هناك الكثير مما يمكنني فعله في المنزل، لكنني سئمت من هذا. كل شيء رهيب. الاعتقاد بأن المشاعر السلبية أو العواطف تعكس الموقف. أشعر بالخوف والإرهاق الآن، لذلك يجب أن يكون كل شيء سيئًا جدًا ولن يتحسن أبدًا. إخبار نفسك كيف يجب أن تتصرف أو يجب عليك ذلك. يجب أن أكون قادرًا على التعامل مع هذا دون أن أغضب وأبكي. فيما يلي استراتيجيات مفيدة لتحدي أفخاخ التفكير الشائعة. يجد الكثيرون أن مزاجهم وثقتهم تتحسن بعد العمل على هذه المهارات. يمكنك أيضًا العثور على أوراق عمل لمساعدتك في المرور بكل خطوة على www.heretohelp.bc.ca. لا تحاول الخروج من فخ التفكير فقط بإخبار نفسك بالتوقف عن التفكير بهذه الطريقة. هذا لا يتيح لك النظر إلى الأدلة وتحدي فخ التفكير. عندما تحاول دفع الأفكار المزعجة بعيدًا، من المرجح أن تعود مرة أخرى إلى ذهنك. اطرح على نفسك الأسئلة التالية عندما يحدث شيء مزعج: ما هو الموقف؟ ماذا حدث فعليًا؟ ضمن فقط الحقائق التي يتفق عليها الجميع. ما هي أفكارك؟ ماذا تقول لنفسك؟ ما هي مشاعرك؟ كيف تشعر؟ ما هي سلوكياتك؟ كيف تتفاعل؟ ماذا تفعل للتأقلم؟ ألقِ نظرة على الأفكار التي كتبتها. هل تستخدم أيًا من أفخاخ التفكير وتقع في أنماط تفكير مشوهة؟ من الشائع الوقوع في أكثر من فخ تفكير واحد. ارجع إلى قائمة أفخاخ التفكير وحدد أي منها ينطبق على حالتك الحالية. أفضل طريقة لكسر فخ التفكير هي النظر إلى أفكارك مثل عالم والنظر في الحقائق الصعبة. استخدم الأدلة التي جمعتها لتحدي أفخاخ التفكير. إليك بعض الطرق للقيام بذلك: حاول إيجاد أدلة ضد الفكرة. إذا ارتكبت خطأ في العمل، قد تفكر تلقائيًا، لا أستطيع فعل أي شيء بشكل صحيح. لا بد أنني موظف سيء جدًا. عندما تظهر هذه الفكرة، قد تتحدى نفسها بسؤال، هل هناك أي دليل يدعم هذه الفكرة؟ هل هناك أي دليل يدحض هذه الفكرة؟ قد تكتشف بسرعة أن رئيسك قد امتدح عملك مؤخرًا، مما لا يدعم فكرة أنك موظف سيء. اسأل نفسك، هل سأحكم على الآخرين إذا فعلوا نفس الشيء؟ هل أكون أقسى على نفسي مما أكون عليه مع الآخرين؟ هذه طريقة ممتازة لتحدي أفخاخ التفكير التي تنطوي على نقد ذاتي قاسٍ. اكتشف ما إذا كان الآخرون الذين تثق بهم يوافقون على أفكارك. على سبيل المثال، قد تواجه مشكلة مع أحد أطفالك وتعتقد، الآباء الجيدون لن يواجهوا هذا النوع من المشاكل. لتحدي هذه الفكرة، يمكنك سؤال آباء آخرين ما إذا واجهوا أية مشاكل مع أطفالهم. اختبر معتقداتك شخصيًا. على سبيل المثال، إذا كنت تعتقد أن أصدقائك لا يهتمون بك، اتصل بعدة أصدقاء وضع خططًا لإجراء مكالمة فيديو منتظمة. إذا افترضت أنهم جميعًا سيرفضون، فقد تفاجأ سرورًا بأنهم يرغبون في رؤيتك. بعد أن تعمل على بعض التحديات، حاول التفكير في فكرة أكثر توازنًا لتحل محل أفخاخ التفكير القديمة. لنأخذ المثال التالي: أشعر بالحزن والإرهاق. أجد صعوبة في معرفة ماذا أفعل. أنا أسوأ شخص. يجب أن أتمكن من التعامل مع هذا. وضع تسمية جمل ""يجب"". فحص الأدلة: لدي الكثير من التحديات الآن. أنا قلق بشأن عائلتي وكل شيء يبدو أنه يتغير بسرعة. لقد تعاملت بنجاح مع مواقف معقدة في الماضي، لذا أعلم أنني أستطيع فعل هذا. لا بأس أن أشعر بالحزن الآن - هناك الكثير مما يحدث. سأفكر في كيف تغلبت على المواقف السابقة وأرى ما الذي نجح بالنسبة لي. أحاول فعل الكثير بمفردي، لذا سأحدث عائلتي حتى نتمكن من وضع خطة والعمل معًا. جرب ورقة عمل التفكير الصحي على www.heretohelp.bc.ca. اطلع على مقالات جمعية القلق Anxiety Canada: التفكير المفيد وأفخاخ التفكير. تم تكييف هذه الصفحة من الوحدة الصحية 8 التفكير الصحي على www.heretohelp.bc.ca/wellness-module/wellness-module-8-healthy-thinking.",دليل منظمة الصحة العالمية للصحة النفسية
ما هو الأنهيدونيا,العدم السريري العميق في القدرة على الشعور بالمتعة من الأنشطة أو الأحاسيس التي كانت سابقًا ممتعة ومرضية للغاية.,الدليل التشخيصي والإحصائي للاضطرابات العقلية الإصدار الخامس DSM-5
ما هو فكرة الإشارة,التفسير الخاطئ بأن الأحداث الخارجية البريئة، أو المحادثات العادية، أو البث الإعلامي لها دلالة شخصية ومباشرة كبيرة.,الدليل التشخيصي والإحصائي للاضطرابات النفسية الطبعة الخامسة DSM-5
ما هي علامات فرط الحركة وتشتت الانتباه لدى البالغين,تشمل العلامات عدم الانتباه المزمن الشديد، وسوء التنظيم، وفقدان الذاكرة العاملة، والقلق الحركي، والاندفاع العاطفي.,الدليل السريري للمؤسسة الوطنية للصحة النفسية
كيف يمكنني إدارة الضغط المالي؟,قم بإعداد ميزانية واضحة، ركز على ما يمكنك التحكم به، واطلب نصيحة من مستشار مالي لتقليل الشعور بالفوضى.,دليل الصحة العقلية لمنظمة الصحة العالمية
ما هو التأثير المتقلب,عرض عاطفي غير طبيعي يتميز بتغيرات سريعة ومفاجئة وعنيفة في التعبير العاطفي تكون مستقلة عن المحفزات الخارجية.,الدليل التشخيصي والإحصائي للاضطرابات العقلية الإصدار الخامس DSM-5
ما هي الهلوسة السمعية,إدراك سماع أصوات أو أصوات عندما لا يوجد مصدر صوتي خارجي، وهي سمة مميزة للانفصام الشخصي.,الدليل التشخيصي والإحصائي للاضطرابات النفسية الطبعة الخامسة DSM-5
لماذا من الصعب طلب المساعدة عندما أواجه صعوبة؟,الوصمة والخوف من أن تكون عبئًا في الغالب يعيقان ذلك. تذكر أن طلب المساعدة هو علامة قوة، وليس ضعف.,دليل الصحة العقلية لمنظمة الصحة العالمية
ما هو التراجع,الانسحاب تحت ضغط نفسي شديد إلى أنماط سلوكية تتسم بمرحلة تطويرية سابقة وأكثر أمانًا.,كتاب أكسفورد في الطب النفسي
ما هو التعميم المفرط,الخطأ الإدراكي المتمثل في استخلاص استنتاج سلبي شامل بناءً على حادثة واحدة معزولة من الفشل أو الرفض.,معهد بيك للعلاج السلوكي المعرفي
ما هو آلية الدفاع؟,استراتيجية نفسية لاواعية ينفذها الأنا لحماية العقل الواعي من القلق الناشئ عن صراعات داخلية غير مقبولة.,كتاب أكسفورد في الطب النفسي
ما هو القمع,الاختيار الواعي والمتعمد لدفع الأفكار أو الرغبات أو المشاعر المزعجة خارج نطاق الانتباه النشط حتى وقت لاحق.,الدليل الإكلينيكي للجمعية الأمريكية لعلم النفس
ما هو تعريف اضطراب الشخصية الحدية,هو نمط مستمر من الصراع الشخصي الشديد، صورة ذاتية غير مستقرة، تقلبات مزاجية، والاندفاعية المدمرة للذات.,الدليل التشخيصي والإحصائي للاضطرابات العقلية الطبعة الخامسة DSM-5
ما هو اضطراب قشر الجلد,اضطراب انتقاء الجلد يتميز بالانتقاء المتكرر لجلد الشخص نفسه، مما يؤدي إلى إصابات جلدية وضغط شخصي شديد.,الدليل التشخيصي والإحصائي للاضطرابات النفسية الطبعة الخامسة DSM-5
ما هي الأبراكسيا,اضطراب عصبي يتميز بعدم القدرة على أداء الحركات الحركية المقصودة والمتعلمة على الرغم من وجود قوة وتناسق عضليين طبيعيين.,دليل الصحة النفسية لكلية الطب جامعة هارفارد
ما اسمك؟,اسمي MINDWELL، أنا مساعد قاعدة بيانات معلومات الصحة النفسية الآلي الخاص بك.,إطار نظام أوبن أي آي السريري
ما هو مرض هنتنغتون,اضطراب تنكسي عصبي وراثي تقدمي يتسم بثلاثية من الحركات اللاإرادية، تدهور معرفي، وأعراض نفسية بارزة.,كتاب أوكسفورد لطب النفس
هل يمكن للأشخاص المصابين بمرض نفسي أن يتعافوا؟,عند التعافي من المرض النفسي، فإن التعرف المبكر والعلاج مهمان جدًا. بناءً على طبيعة المرض، هناك مجموعة من العلاجات الفعالة المتاحة. لأي نوع من العلاج، من الضروري أن يكون الشخص المتأثر نشطًا ومشاركًا بالكامل في عملية تعافيه الخاصة. كثير من الأشخاص المصابين بأمراض نفسية والذين يتم تشخيصهم وعلاجهم يستجيبون بشكل جيد، على الرغم من أن بعضهم قد يعاني من عودة الأعراض. حتى في هذه الحالات، مع المراقبة الدقيقة وإدارة الاضطراب، لا يزال من الممكن جدًا أن يعيش الشخص حياة مليئة ومنتجة.,دليل الصحة النفسية لمنظمة الصحة العالمية
ما دور ضوء الشمس في الصحة النفسية؟,يعزز ضوء الشمس فيتامين د والسيروتونين، وهما ضروريان لتنظيم المزاج ودورة النوم والاستيقاظ الصحية.,دليل الصحة العقلية لمنظمة الصحة العالمية
ما هو نوبة الذعر,نوبة الذعر هي اندفاع مفاجئ لخوف شديد أو انزعاج شديد يصل إلى ذروته خلال دقائق، مسببة ألمًا جسديًا في الصدر.,الدليل التشخيصي والإحصائي للاضطرابات النفسية الطبعة الخامسة DSM-5
ما هو الاضطراب المعرفي العصبي بسبب عدوى فيروس نقص المناعة البشرية,تدهور معرفي موثق ناتج مباشرة عن التأثيرات العصبية البيولوجية لتكاثر فيروس نقص المناعة البشرية داخل الجهاز العصبي المركزي.,دليل مرضى طب النفس في جون هوبكنز
كيف أتعامل مع قلق الأحد أو توتر العمل؟,استعد ليوم الإثنين في ظهر يوم الجمعة وخصص يوم الأحد للاسترخاء والهوايات التي لا علاقة لها بالعمل.,دليل المعهد الوطني للصحة النفسية
ما هو وهم العظمة؟,اقتناع مبالغ فيه وخاطئ بامتلاك قوة استثنائية أو هوية أو ثروة أو مكانة إلهية أو علاقة خاصة مع إله.,الدليل التشخيصي والإحصائي للاضطرابات النفسية الطبعة الخامسة DSM-5
ما هو الكلام العرضي,خلل في التواصل حيث ينحرف المتحدث باستمرار عن السؤال الأساسي إلى مواضيع ذات صلة، دون أن يجيب على السؤال أبداً.,الدليل التشخيصي والإحصائي للاضطرابات النفسية الطبعة الخامسة DSM-5
كيف أتوقف عن إرضاء الآخرين على حساب صحتي؟,تعلم قول لا كجملة كاملة. وقتك وطاقتك موارد محدودة يجب أن تحميها.,دليل الصحة النفسية لمنظمة الصحة العالمية
ما الفرق بين الحزن والاكتئاب؟,الحزن هو رد فعل طبيعي على فقدان أو خيبة أمل أو مشاكل أو مواقف صعبة أخرى. الشعور بالحزن من حين لآخر هو جزء آخر من كونك إنسانًا. في هذه الحالات، تختفي مشاعر الحزن بسرعة ويمكنك متابعة حياتك اليومية. طرق أخرى للتعبير عن الحزن قد تكون الشعور بالانخفاض، الشعور بالاحتقار، أو الشعور بالكآبة. قد يقول الشخص إنه يشعر بالاكتئاب، ولكن إذا اختفى من تلقاء نفسه ولم يؤثر بشكل كبير على الحياة، فمن المحتمل ألا يكون مرض الاكتئاب. الاكتئاب هو مرض عقلي يؤثر على مزاجك وطريقة فهمك لنفسك وطريقة فهمك وتعاملك مع الأشياء من حولك. يمكن أن يُعرف أيضًا بأسماء مختلفة، مثل الاكتئاب السريري أو الاضطراب الاكتئابي الرئيسي أو الاكتئاب الشديد. يمكن أن يظهر الاكتئاب بدون سبب، ويستمر لفترة طويلة. وهو أكثر بكثير من الحزن أو المزاج المنخفض. الأشخاص الذين يعانون من الاكتئاب قد يشعرون بأنهم بلا قيمة أو يائسون. قد يشعرون بالذنب بدون مبرر. قد يعاني بعض الأشخاص من الاكتئاب كغضب أو تهيج. قد يكون من الصعب التركيز أو اتخاذ القرارات. يفقد معظم الناس الاهتمام بالأشياء التي كانوا يستمتعون بها وقد يعزلون أنفسهم عن الآخرين. هناك أيضًا علامات جسدية للاكتئاب، مثل مشاكل في النوم والشهية والطاقة وآلام غير مفسرة. قد يعاني البعض من أفكار صعبة عن الموت أو إنهاء حياتهم (الانتحار). يستمر الاكتئاب لأكثر من أسبوعين، ولا يزول عادة من تلقاء نفسه، ويؤثر على حياتك. إنه مرض حقيقي، وقابل للعلاج للغاية. من المهم طلب المساعدة إذا كنت قلقًا بشأن الاكتئاب.,National Institute of Mental Health Clinical Guide
ما هي الهلوسة الشمية,إدراك شم روائح غير موجودة فعليًا، غالبًا روائح كريهة، مرتبطة كثيرًا بصرع الفص الصدغي.,الدليل التشخيصي والإحصائي للاضطرابات النفسية الطبعة الخامسة DSM-5
ماذا يجب أن أفعل إذا كنت قلقًا بشأن صديق أو قريب؟,قد يعتمد ذلك على علاقتك بهم. تشجيع شخص ما بلطف على طلب الدعم المناسب سيكون مفيدًا كبداية.,الدليل الإرشادي لمنظمة الصحة العالمية للصحة النفسية
