Questions,Answers,References
How can I see a counsellor?,"You can find directories of counsellors through their professional organizations. Registered Clinical Counsellors visit the BC Association of Clinical Counsellors Canadian Certified Counsellors visit the Canadian Counselling and Psychotherapy Association Canadian Professional Counsellors visit the Canadian Professional Counsellors Association For more specialized counselling professionals, such as Marriage and Family Therapists, see the Federation of Associations for Counselling Therapists in British Columbia. You can make an appointment on your own. You dont need a doctors referral to see a counsellor. Counsellors are not usually covered by MSP, so youll have to pay for the cost of the appointment yourself. Workplace extended health benefits, Employee Family Assistance Programs, or private health insurance plans may help cover some costs. Some counsellors may offer a sliding scale based on your income. If youre facing financial hardship, you can ask when you make the appointment. Learn more about lower-cost options to access counselling or email us with your location and our information and referrals team can see what options there may be in your community. If you see a counsellor through a public mental health centre like a mental health team or outpatient psychiatry program, it will still be covered by MSP. Talk to your care provider if you have questions or want to learn more. Indigenous community members can access some counselling services locally or through the First Nations Health Authority. Contact your local Band or local Friendship Centre, or contact the First Nations Health Authority.",World Health Organization Mental Health Manual
How can I find a support group?,"Support groups are a way for people with a common experience to help each other and learn from each other. There are support groups for people with any experience of mental illness, support groups for people with a specific diagnosis, support groups for family members and friends, and more. Support groups are offered by community organizations, mental health service providers, schools, campuses, and support agencies. Here are some general resources to help you find a mental health or substance use related support group in BC Talk to your mental health care provider. They might be able to make recommendations. The Mood Disorders Association of BC offers a network of peer support groups around the province for people who experience mental illnesses like mood disorders or post-traumatic stress disorder. They also have groups for family and friends. Groups are drop-in. Many Canadian Mental Health Association branches offer support services, including support groups. If your local branch doesnt have their own program, they can recommend other services in your community. The BC Schizophrenia Society maintains a directory of support groups and other regular events for family members of people with a mental illness. For groups related to alcohol or drug use, call the Alcohol and Drug Information Referral Service at 1-800-663-1441 or 604-660-9382 in the Lower Mainland. For groups in the Lower Mainland, search the Red Book Online. If you are at school or on campus, talk to a school counsellor or your campus health and wellness office. For online support, see some suggestions at www.heretohelp.bc.cadiscuss. This can be particularly useful if you dont have a group in your community or have trouble getting to an in-person group. In order to benefit the most from a support group, you need to feel safe enough to share your experiences and thoughts, and you need to feel comfortable supporting others. It can be helpful to contact the group facilitator or organizer ahead of time to see if a particular group might be a good fit for you. We have a checklist to help you evaluate support groupsincluding when it might be time to leave one. Sometimes a group just doesnt work for you, and thats okay. If you feel comfortable, you can try talking to the facilitator to see if they can recommend another group that you can try.",World Health Organization Mental Health Manual
Where can I find child and youth mental health services?,"To find help for a child or youth, you can Encourage your child to talk to a teacher or school counsellor Talk to your family doctor or pediatrician, or go to a walk-in clinic Contact your local Child Youth Mental Health office on one of their walk-in days Use Kelty Mental Healths Help Finder Tool to find specific services and providers Contact the Institute of Families for Child and Youth Mental Healths Youth-in-Residence or Parent-in-Residence for guidance, information, and support. Youth-in-Residence and Parents-in-Residence are located around the province. If you dont have one in your community, a Parent- or Youth-in-Residence at the Kelty Mental Health Resource Centre can help you by phone or email Visit www.familysmart.ca for information and resources on child and youth mental health For young people ages 12-24, visit foundrybc.ca to see if there is a Foundry Centre in your area. Foundry offers easy-to-access mental health care, physical health care, social services, and support out of one office.",World Health Organization Mental Health Manual
Where can older adults find help for mental health concerns?,"Mental health concerns are a serious concern at any age, and everyone deserves help and support. If youre concerned about your mental health, you can Talk to your family doctor or go to a walk-in clinic Call the Mental Health Support Line at 310-6789 no area code for information about services in your area Find your local mental health centre or program at www.gov.bc.camentalhealth you may need a doctors referral to access some programs Find your local Canadian Mental Health Association branch at www.cmha.bc.ca and ask for information about local services Contact a local seniors support organization or group and ask for advice. You can search for organizations at www.bc211.ca For general information about seniors mental health Find resources from the Canadian Coalition for Seniors Mental Health at www.ccsmh.ca Find info sheets in the Seniors and Depression Series at www.heretohelp.bc.cafactsheetseniors-and-depression-series If you are concerned about a loved one Be honest about your concerns, like changes youve noticed or problems that have come up Give your loved one a chance to talk about their perspectives. They may have a different take on the problem or have different priorities in their health care Be patientit will probably take more than one conversation Whenever possible, aim for cooperation. Focus on finding an action or solution that everyone can agree on Remember that asking for help is hard for many of us, and it can be even harder as peoples roles and abilities change. If your loved one isnt willing to talk about their experiences with you right away, offer alternatives like the BC Mental Health Support Line 310-6789no area code needed, the Seniors Distress Line 604-872-1234 or a local seniors support organization search for organizations at www.bc211.ca Seek support to manage your expectations and your own well-being. It can be very stressful to see a loved one experience health problems. But adults who can care for themselves and arent at risk of harm are free to make their own choicesand that includes refusing help",World Health Organization Mental Health Manual
Where can I find self-help materials for depression?,"Self-help resources are not a substitute for diagnosis or treatment. If you have concerns about low mood, its best to talk to your doctor first and rule out physical causes for your symptoms. However, once youve checked in with your doctor, self-help materials can be a great way to learn more about depression and practice different skills at your own pace or in between treatment sessions. Here are some resources to check out. The Antidepressant Skills Workbook was created by two BC psychologists. Youll learn more about depression, learn and practice different skills to help improve your mood, and learn how healthy changes in other parts of your life can impact your mood. They also have similar workbooks for specific groups Dealing With Depression Antidepressant Skills for Teens A workbook for people who experience problems with depression at work called Antidepressant Skills at Work Dealing with Mood Problems in the Workplace A workbook for expecting or new moms called Managing Depression A Self-help Skills Resource for Women Living With Depression During Pregnancy, After Delivery and Beyond A workbook for people who experience health problems called Positive Coping with Health Conditions A Self-Care Workbook On the HeretoHelp site, our Managing Depression series offers three info sheets Dealing with a Diagnosis of Depression, Working With Your Doctor for Depression, and Preventing Relapse of Depression. The series helps you be an active partner in your health care, build healthy coping skills and self-management strategies, and more. Often depression can affect your concentration and motivation to work through self-help materials on your own. If youd like self-help materials with a bit of extra support from a person, Bounce Back Reclaim Your Health is a guided self-help program for British Columbians who experience mild to moderate depression, low mood, stress, or anxiety. You can get a DVD of tips to help you recognize and manage symptoms of depression, or you can learn more in-depth skills in a series of workbooks you complete at home. You also work with a trained coach from the Canadian Mental Health Association who will offer support and advice by telephone or video conference. Bounce Back is free with a doctors referral. For more information, visit www.bouncebackbc.ca If you want to access the Bounce Back materials without a coach or referral, you can do that online in BC at www.bouncebackonline.ca. The Mood Disorders Association of BC has a number of videos on mental health, seeking help, and other topics Kelty Mental Health Resource Centre also maintains a comprehensive list of websites, toolkits, books and other resources for young people and families Heads Up Guys offer tips and strategies for healthy living strategies for men who experience depression The BC Reproductive Mental Health Program of BC Mental Health and Substance Use Services has a self-management guide for women who experience postpartum depression called Coping with Depression in Pregnancy and Following the Birth. They also have a guide for Aboriginal women and their families called Celebrating the Circle of Life coming back to Balance and Harmony The follow resources are based outside of BC, but they offer a lot of good information. MoodGYM Training Program is a web-based self-help course for people who experience depression. It is based in Australia but is available for free to anyone Moodjuice is a UK initiative that offers self-help workbooks, including one for depression There are many books and workbooks available to help people who experience depression. Talk to your mental health care team for recommendations. You can find many from your local bookstore or special bookstores specializing in mental health like Odin Books in Vancouver you can also order online. Within British Columbia, you may also borrow books for free from the Family Support and Resource Centre at BC Childrens and Womens Hospitals. They have many self-help and reference materials on depression for women and their partners, for parents, and for children and youth.",National Institute of Mental Health Clinical Guide
Where can I find self-help materials for anxiety?,"Self-help resources are not a substitute for diagnosis or treatment. If you have concerns about low mood, its best to talk to your doctor first and rule out physical causes for your symptoms. However, once youve checked in with your doctor, self-help materials can be a great way to learn more about anxiety and practice different skills at your own pace or in between treatment sessions. Here are some resources to check out Anxiety Canada has self-help resources, toolkits, worksheets, and videos on anxiety and anxiety disorders for children and their parents, teens, adults, expecting and new moms at www.anxietycanada.com. Their MindShift app teaches skills to help users manage anxiety, relax, and live well. Although designed for teens and young adults, other adults can also benefit from it. Kelty Mental Health Resource Centre has a list of recommended websites, toolkits, books, and other resources for children and for teens. The BC Reproductive Mental Health Program of BC Mental Health and Substance Use Services has a self-management guide for women who experience anxiety during and after birth called Coping With Anxiety During Pregnancy and Following the Birth. Moodjuice is a UK program that offers self-help and information on a number of mental health concerns, including their anxiety self-help guide. If youd like help for a specific anxiety disorder, visit www.moodjuice.scot.nhs.uk to search for other guides. There are many books and workbooks available to help people who experience anxiety problems. Talk to your mental health. Talk to your mental health care team for recommendations. There are bookstores that specialize in mental health and well-being materials, such as Odin Books in Vancouver. Within British Columbia, you may also borrow books for free from the Family Support and Resource Centre at BC Childrens and Womens Hospitals. They have many self-help and reference materials on depression for women and their partners, for parents, and for children and youth. If youd like self-help materials with a bit of extra support from a person, Bounce Back Reclaim Your Health is a guided self-help program for British Columbians who experience mild to moderate low mood or anxiety. You can get a DVD of tips to help you recognize and manage symptoms of anxiety, or you can learn more in-depth skills in a series of workbooks you complete at home. You work with a trained coach from the Canadian Mental Health Association who will offer support and advice by telephone or video conference. Bounce Back is free with a doctors referral. For more information, visit www.bouncebackbc.ca. If you want to access the Bounce Back materials without a coach or referral, you can do that online in BC at www.bouncebackonline.ca.",National Institute of Mental Health Clinical Guide
Im having a hard time coping with a physical health problem. Where can I find help?,"Physical health can have a big impact on mental health Here are some resources to help you cope with the emotional challenges of living with a chronic health problem Self-Management BC offers free programs for adults of all ages who are experiencing any ongoing physical or mental health issues. Find information and strategies to help manage symptoms and take action toward the best life possible. Family members, friends, and loved ones are welcome to attend. Programs are available in languages other than English, including Chinese and Punjabi. On their website, you learn more about self-management research and find a workshop or telephone-based support program. Visit www.selfmanagementbc.ca or call toll-free 1-866-902-3767. A group of BC psychologists and doctors have created a self-guided workbook called Positive Coping with Health Conditions for anyone who is dealing with a health problem and anyone who supports a loved one that experiences a health problem. The workbook discusses the links between physical health and mental health, and teaches you different skills to help you manage problems and difficult feelings well, get active, and work on healthy relationships. Bounce Back Reclaim Your Health is a guided self-help program for British Columbians who experience mild to moderate depression, low mood or anxiety. You can get a DVD of tips to help you recognize and manage symptoms of depression, or you can learn more in-depth skills in a series of workbook you complete at home. One of the workbooks, Reclaim Your Health, is focused on living with chronic health conditions. You work with a trained coach from the Canadian Mental Health Association who will offer support and advice by telephone or video conference. Bounce Back is free with a doctors referral. For more information, visit www.bouncebackbc.ca. If you want to access the Bounce Back materials without a coach or referral, you can do that online in BC at www.bouncebackonline.ca. Reclaim Your Life From illness, disability, pain, or fatigue is a booklet from the Canadian Mental Health Association that offers practical tips and strategies to help you cope with a problem and get back to your usual routine. The booklet is available for purchase at www.livinglifetothefull.ca. It is part of a program called Living Life to the Full, an eight-week program that helps people make helpful changes in their lives. Its offered throughout the province, and you can find course listings on the website as well. Many organizations support people who experience a particular illness or health problem. These organizations can often help people find appropriate support services or may even offer support groups of their own. You can also ask your health care team for recommendations. If you cant find support in person, you can see if there are any support groups online. If youre having a hard time coping and feel that you need one-on-one support, a therapist or counsellor can be a great option. You can find more information on finding these professionals at www.heretohelp.bc.caask-ushow-can-i-find-a-doctor-psychiatrist-psychologist-or-counsellor.",World Health Organization Mental Health Manual
When is substance use a problem? Where can I go for help?,"Each person has a different relationship with substances like alcohol and other drugs, and people use substances for different reasons. Whats beneficial for some may cause problems for others, or for the same person in different situations. To learn more about substance use, check out Understanding Substance Use A health promotion perspective. For more on supporting someone else, a useful resource is Helping People who Use Substances A health promotion perspective. To help you think about your relationship with substance, You and Substance Use Stuff to think about...and ways to make changes is a great workbook. Another series, Making Healthier Choices about Substance Use Tips for cutting back or quitting, has a lot of useful tips and resources if you want to change the way you use alcohol, marijuana, medications, methamphetamine, and tobacco. If you or someone you care about needs more help, contact the Alcohol and Drug Information Referral Service to find support in your area. To get help anywhere in BC, call 1-800-663-1441. In Greater Vancouver, call 604-660-9382. To learn more about substance use, visit the Centre for Addictions Research of BC.",World Health Organization Mental Health Manual
Where can I find free or low-cost counselling?,"Mental health services like counselling or therapy may be covered by your BC Medical Services Plan MSP when you access the service through a hospital or mental health clinic. Find your local health authority to learn more about counselling services in your area. HealthLink BCs Find Services tool and Locator app can also help you find services. You often need a doctors referral to access these types of programs. Without a doctors referral, you need to access care through the private system, which is not funded by the government. Private mental health services can be expensive. This can be a real barrier to finding good care. While there is no simple answer, there are several different places you can look If you have health benefits at work, ask about your coverage. Some plans will cover a certain number of private counselling or therapy sessions. In addition, a workplace EmployeeFamily Assistance Plan may offer some services or may refer you to community services. Some psychologists, clinical counsellors, or other service providers may offer a sliding scale, which means that their costs are based on your income. Try contacting service providers directly to ask if they offer a sliding scale. One private clinic in Vancouver has a good list of lower-cost counselling options in the Vancouver area. For those outside of the Lower Mainland, you can still look at this list and see if any similar organizations might be in your community. Contact a mental health organization like Anxiety Canada, the Canadian Mental Health Association, BC Schizophrenia Society, Institute of Families for Child and Youth Mental Health, Mood Disorders Association of BC, or Jessies Legacy. They may offer services in your area, or they may have local connections that they can refer you to. You can also email us and well try and give you some recommendations for your community.",World Health Organization Mental Health Manual
Can I get help paying for prescription medications?,"BC PharmaCare covers the cost of some medications through Plan G, the Psychiatric Medications Plan, for people who need a medication to be well but cannot afford them. Your doctor or nurse practitioner must apply for your coverage on your behalf. Coverage usually lasts for one year, and then you can reapply if needed. Talk to your care team if youre interested in Plan G.",World Health Organization Mental Health Manual
How can I pay for mental health care?,"you will have to cover the costs yourself. Its no secret that these services can be expensive, but you may be able to offset the costs through Extended health coverage from your own or an immediate family members workplace benefits Employee Family Assistance Program from your own or an immediate family members workplace benefits For students, school or campus mental health services For Indigenous community members, services offered through your Band, Friendship Centre, Indigenous support organization, or the First Nations Health Authority Cultural or faith communities may offer some mental health services You may be able to claim some larger costs related to treatment of a mental health condition on your income tax return under health expenses Some providers offer lower-cost services or a sliding scale, usually based on your incomen or or tratment.",World Health Organization Mental Health Manual
What is MSP?,"MSP stands for Medical Services Plan. Its a health insurance program managed by the government for people who live in British Columbia, Canada. MSP pays for things like doctors appointments, appointments with specialist doctors like psychiatrists, and hospital stays you need to treat a medical problem. Everyone who lives in BC must enroll in MSP. You pay a monthly fee based on your income. Some workplaces cover the costs of MSP fees for you. Learn more about MSP here. If you have questions about applying for or managing your MSP coverage, call Health Insurance BC at 604 683-7151 in the Lower Mainland or 1-800-663-7100 in the rest of BC. They are open Monday Friday from 8.00am 4.30pm. You can also get help in person at your local Service BC office. If you are new to BC, you have to wait three months before registering for MSP. Bring your Care Card or BC Services Card with you when you go to medical appointments or use the pharmacy.",World Health Organization Mental Health Manual
What is a referral?,"A referral means someone recommends you to another service. In health care, it usually means a request from your doctor to see a specialist like a psychiatrist. To access any specialist you first need a referral. You may need to meet certain criteria, like a specific diagnosis or specific symptoms, to access some specialists. Your doctor can tell you what to expect. Once your doctor has made the referral, the specialists office will contact you with an appointment time. Make sure your doctors office has your current contact information so the specialist can reach you. The process is the same whether you see the same family doctor or visit a walk-in clinic. Not all mental health programs require a doctors referral. This is good news for people who are looking for help A self-referral means that you ask to see someone, and then you will be evaluated to see if you meet the criteria to receive services.",World Health Organization Mental Health Manual
Whats the difference between a psychiatrist and a registered psychologist?,"A psychiatrist is a medical doctor with extra training in mental health who can choose to prescribe medications. Some use psychotherapy talk therapies approaches like cognitive-behavioural therapy to treat mental health problems. Many psychiatrists work at hospitals, clinics, or health centres, and some have a private office. As they are specialist doctors, you will almost always need another doctors referral to see a psychiatrist, and fees . A registered psychologist focuses on different talk therapy or counselling approaches to treatments, but they dont prescribe medication. They have graduate degrees in psychology. There are two different ways to access registered psychologists the public system and the private system. Registered psychologists in the public system work in some hospitals or schools. You may need a doctors referral to access the program, and costs are usually covered by MSP. However, most people need to access registered psychologists through the private system. To do this, you can contact the psychologist yourselfyou do not need a referral. Costs are not covered by MSP, but they may be covered by employee health plans. A registered psychologists fees charged by hour vary, and some offer lower fees to people with lower incomes. Youve probably noticed that a lot of the differences come down to how you pay for different services and how these professionals are educated. The practical differences in how they work are not always so clear. When it comes to your treatment and care, the most important part is finding a professional who supports your own goals. Are you really focused on fine-tuning medications? Are you looking for a particular therapy approach? Does the professionals philosophy of care make sense to you? Do you like the professional youre talking to and do you feel safe sharing your experiences? Ultimately, your relationship with the professional is what matters. Instead of focusing on designation, look for a professional who meets your needs and your expectations. Talk to your family doctor and ask for their recommendations Ask local mental health organizations for help. You can find local branches through the provincial organizations behind HeretoHelp Ask a community health centre, outpatient psychiatry program, or mental health team for suggestions For a list of psychiatrists near you, search under Specialist in the College of Physicians and Surgeons of British Columbias Find a Physician Tool but remember that you will first need a referral from a doctor like your family doctor",World Health Organization Mental Health Manual
Whats the difference between psychotherapy and counselling?,"Psychotherapy and counselling have a lot in common and usually mean the same thing. Both are used to describe professionals who use talk-based approaches to help someone recover from a mental illness or mental health problem. Many different professionals may provide counselling or psychotherapy, including registered psychologists, registered clinical counsellors, psychiatrists, other therapists and counsellors, family doctors, psychiatric nurses, and faith leaders. Its useful to talk to someone about any problema lot of people find that simply talking with friends or family can help them feel better. A professional therapist or counsellor can offer more they have training, experience, and emotional distance since they dont know you. They use different theories to listen to you, support you, and approach different problems or patterns. For example, a psychotherapy called cognitive-behavioural therapy is based on the theory that learning skills to change your thinking and actions can positively impact your emotions, well-being, and future thoughts and behaviours. A therapist could help you learn and practice these skills. There are many psychotherapies with good evidence of being effective for different problems or illnesses. A few examples include cognitive-behavioural therapy, interpersonal therapy, dialectical behaviour therapy, solutions-focused brief psychotherapy, narrative therapy, and emotion-focused therapy. In general, some aspects of therapy and counselling are the same, no matter which approach you choose the expectations you bring to your counselling sessions, the match between your understanding of the problems and your therapists understanding of the problem, and the trust and rapport that you have with your therapist. In fact, one research review found that 50 of the improvement seen in clients who just received active listening and support from a counsellor called non-directive supportive therapy was due simply to the relationship between client and therapist.1 Psychotherapy can and does work, but the professional you choose, and their match with your values, is also very important. When youre looking for a professional, its always a good idea to ask if they are a member of a professional organization like those listed in the next section.",American Psychological Association Clinical Guidelines
Whats the difference between CBT and DBT?,"CBT cognitive-behavioural therapy and DBT dialectical behaviour therapy are two forms of psychotherapy or talk therapy. In both, you work with a mental health professional to learn more about the challenges you experience and learn skills to help you manage challenges on your own. Cognitive-behavioural therapy or CBT teaches you how your thoughts, feelings, and behaviours influence each other. For example, if you believe that people dont like you thought, you might avoid social situations behaviour and feel lonely feeling. However, CBT teaches you how to use these relationships to your advantage a positive change in one factor changing a thought or behaviour can lead to positive changes in all factors. CBT is an approach that has been proven by research to work for many different mental health problems, including depression, anxiety disorders, eating disorders and substance use problems. CBT is structured, short-term, goal-oriented and focused on the present. It starts with education around the particular mental illness or challenge and how the illness or challenge affects you. Next, youll learn and practice skills and strategies like problem-solving or realistic thinking to help you make changes in your thoughts, feelings, and behaviours. Youll learn how you can use your new skills to deal with problems in the future. Dialectical behaviour therapy or DBT is based on CBT, with greater focus on emotional and social aspects. DBT was developed to help people cope with extreme or unstable emotions and harmful behaviours. DBT is an evidence-based approach to help people regulate emotions. It started as a treatment for borderline personality disorder, and current research shows it may help with many different mental illnesses or concerns, particularly self-harm. Key differences between CBT and DBT are validation and relationships. DBT teaches you that your experiences are real, and it teaches you how to accept who you are, regardless of challenges or difficult experiences. Relationships are also very important in DBTincluding the relationships between you and your DBT practitioner. You may have frequent check-ins to talk about any successes or problems. Treatment may include a mix of one-on-one sessions and group sessions. In addition to CBT skills, youll learn skills around managing your emotions, building relationships with others, coping well with problems or distress, acceptance, and mindfulness. As with many talk therapies, it takes time and effort to enjoy the benefits of CBT and DBT skills. But once people master skills with support from your CBT or DBT therapist, they often find that their new skills and strategies become second naturethey are tools that last a lifetime.",American Psychological Association Clinical Guidelines
Whats the difference between antidepressants?,"There are many different types of antidepressant medications, and they each work in different ways. Antidepressants are divided into classes based on what they do and which chemical messengers in the brain called neurotransmitters they are thought to influence. Each class may contain several different medications, which each have slightly different ways of working. Below, youll find common classes and examples of common medications. The first name is the generic name and name in brackets is the brand name. SSRIs or selective serotonin reuptake inhibitors fluoxetine Prozac, paroxetine Paxil, citalopram Celexa, escitalopram Cipralex, and sertraline Zoloft SNRIs or serotonin and norepinephrine reuptake inhibitors venlafaxine Effexor and duloxetine Cymbalta NDRIs or norepinephrine-dopamine reuptake inhibitors bupropion Wellbutrin and Zyban NaSSAs or noradrenergic and specific serotonergic antidepressants mirtazapine Remeron, which can also be classed as a TeCa or tetracyclic antidepressant SARIs or serotonin antagonist and reuptake inhibitors trazodone Desyrel There are other classes of antidepressants such as MAOIs or triclycics that are much older and have more side effects or restrictions. They are usually prescribed when newer antidepressants dont work. Other medications such as lithium, thyroid medication, or antipsychotics may also be prescribed, often in combination with an antidepressant to boost its effect. Antidepressants are not only used to treat depressionthey may be prescribed to treat other illnesses like anxiety disorders. Only medical doctors like family doctors or psychiatrists can prescribe antidepressants. If your doctor recommends that you consider antidepressants, keep in mind that most people have to try a few different options before they find the right medication. It can be a frustrating process, especially when you feel unwell, but its important to find something that works for you Side effects and benefits can vary significantly between different people, and its difficult to predict how a medication might work without trying it out first. Everyone responds to them differently. Its very important to have ongoing discussions with your health care team regarding your medication so you can bring up any problems or concernsor even ask more about how your particular antidepressant works.",National Institute of Mental Health Clinical Guide
I received a diagnosis but I dont think its right. What can I do?,"If possible, bring up your concerns with the professional who provided the diagnosis. That way, the professional can answer your questions and you can better understand their decision. If that doesnt resolve the situation or a follow-up appointment isnt possible, you can ask for a second opinion. A second opinion is an assessment from a different professional. This can give you better understanding of whats going on and what to do about it. Second opinions are common when it comes to major health decisionsyou wont hurt anyones feelings and your doctor will try to accommodate reasonable requests for a second opinion. Talk to your family doctor or go to a walk-in clinic to discuss your options and get a referral to a different program or health professional, if needed. For more how to get a second opinion, see HealthLinkBCs factsheet at www.healthlinkbc.ca. For general tips on managing a diagnosis of a mental illness and working well with health care professionals, see HeretoHelps Managing a Mental Illness series.",World Health Organization Mental Health Manual
I was prescribed an antidepressant or other psychiatric medication but I dont think its working. What can I do?,"If youre concerned about your medications, its important to talk with the doctor or psychiatrist who prescribed your medications. While it can take a few weeks to really see improvements with many antidepressants, its still a good idea to talk to your doctor about what to expect. Talk to the doctor that prescribed your medication if you experience symptoms or side effects that are distressing you. If you want to talk to a trusted professional about the most common side effects, call your pharmacist. its also best not to stop taking the medication or changing the dose on your own without first talking to a health care provider. While it might be tempting to stop taking your medication when you start feel better, its important to follow your doctors instructions. In some cases, people can have an allergic reaction to a medication. Some reactions are not serious, like a rash.",National Institute of Mental Health Clinical Guide
An adult in my life seems ill and wont find help. What can I do?,"Its difficult when an adult child, sibling, parent, friend, co-worker, or other important person is struggling or behaving in ways that are causing harm. This can be a tricky situationyou want to help, but most adults are responsible for their own care. There are two important points to think about. First, diagnosing a health condition, especially when symptom-checking is so easy online, can be dangerous. Diagnosis is still always best left to professionals who can look at the whole picture. Remember, too, that the person you care about may have a very different idea of whats causing their difficulties and what the negative impacts are on their life. Second, except in rare cases, the person being treated needs to be an active player in their own recovery to continue with their treatment, just as they would for any other health problem. If the vast majority of cases, you cannot do this work entirely for themand trying to do so may damage your relationship. Be honest about your concerns, the impacts you are seeing that worry you, listen to their point of view and work together to find a solution that works for everyone, even if it means a compromise. You may want to offer to go with them to an appointment, encourage them to do an online screening self-test, or involve someone else close to them who may be similarly concerned and may have more influence in encouraging them to notice changes and seek help. Because you may be feeling frustrated and helpless, its important to get care and support for yourself during this time, especially if youre very close to the person youre worried about. While its necessary in some situations to get someone the care they need, it can be traumatic for everyone involved.",World Health Organization Mental Health Manual
Im worried about my child or teenager. Where can I find help?,"It can be hard to figure out what to do if youre concerned about a young person in your family. Many people start by talking with their family doctor. If you dont have a family doctor, you can find a doctor through the College of Physicians and Surgeons of BC. You can also visit a walk-in clinic. Depending on the situation, your family doctor may offer everything you need. If your child needs more specialized services, such as psychiatry services, your family doctor needs to make a referral for your child. Many family doctors can also recommend community services or supports in your community. Learn more about the role of family doctors in the info sheet What to Expect from Your Family or Walk-In Clinic Doctor. If your childs difficulties affect their performance or behaviour at school, the school may be involved. If your childs school has a counsellor, talk to them about services you can access through the school. School counsellors can also suggest community services. See the info sheet What to Expect from Your Childs School.",World Health Organization Mental Health Manual
Someone I care about has a brain injury. Where can I find more information?,"A brain injury itself isnt the same as a mental illness, though someone who experiences a brain injury may also experience mental health problems. These mental health problems may stem from the injury itself or from thoughts around the injury like feelings of loss, anger, or frustration when quality of life changes. In some cases, mental health challenges may not be related to a brain injury at all. The good news is that mental health problems are treatable, even if you or someone you care about has experienced a brain injury. It may be helpful to find a service provider who is familiar with both brain injuries and mental health.",World Health Organization Mental Health Manual
Someone I love has been diagnosed with depression. How can I help?,"We naturally want to help a loved one who isnt feeling well. How we can or should help may seem fairly obvious when a loved one experiences a physical health problem, but many people say theyre not sure how to best help when a loved one experiences a mental illness like depression. Here are some tips You dont have to understand exactly what someone else is experiencing, you just need to recognize that its a difficult experience. You can try something like, I can see that this experience or these symptoms are really painful for you, or, Im sorry to hear that youre feeling unwell. If you have experienced depression yourself, you might say, I know how you feel. Just remember that everyone experiences illnesses like depression differently, and empathy is about recognizing the impact of the illness, not comparing symptoms. You dont have to be an expert, but learning more about depression can help you understand whats going on and maybe dispel some of the unhelpful myths around depression. Our Depression info sheet is a great place to start, and we have a list of resources at QA Where can I learn more about depression? Sometimes talking about problems or concerns can really helpin fact, many people who experience a mood disorder say that they just want to be heard. Its important to understand that talking about something difficult like experiences of depression can be very hard for your loved one. You cannot force them to talk about it, but you can invite them to, and create safe and quiet spaces to talk. If a loved one opens up to you, listen activelythat is, without distractions like your phone or the TV. Really pay attention to what they have to say. Listen with empathy and without judgement. Even if you dont understand the problem or see the problem in a different way, your main concern is the distress or difficult feelings your loved one is experiencing. You can find in-depth tips on listening and communicating well in Module Three of the Family Toolkit. Some people are not ready to talk about everything at once, or at all. Thats okay Respect your loved ones boundaries and let them tell you what theyre ready to talk about. Even when you have the best intentions, unsolicited advice can be unhelpful. You likely cant fix the problem, and you may not know the whole story. If youd like to share what worked for you in a similar situation, you can ask if the other person would like to talk about strategies that worked for you. Different people need different thingsdont assume you know whats best Some people need emotional help, like someone they can talk with. Other people may have a good relationship with a counsellor or other professional, but they might need practical help, like help around the house or help sticking to their treatment plan. And others may simply want to be included in some social events. By asking what a person needs, you may also be less tempted to give advice. When people experience an episode of depression, they can have a lot of very negative thoughts and feelings. This can take a real toll on others. Its a good idea to seek support for yourselfthere are support groups just for family members and friends. The BC Schizophrenia Society has a directory of family support groups around BC for any mental illness. If your loved one isnt happy with their treatment or would like to try a different option, you can also help them seek different resources or services.",National Institute of Mental Health Clinical Guide
